,temp_mean,rain_mean
9.5567E+11,29.55,0
9.55757E+11,29.375,1.660869565
9.55843E+11,26.5,1.673913043
9.5593E+11,25.925,14.82173913
9.56016E+11,26.55,21.31666667
9.56102E+11,27.65,1.479166667
9.56189E+11,27.15,18.4125
9.56275E+11,26.1,29.625
9.56362E+11,27.625,0
9.56448E+11,27.35,6.929166667
9.56534E+11,27.075,0.804166667
9.56621E+11,26.925,0.85
9.56707E+11,26.65,8.85
9.56794E+11,25.925,27.075
9.5688E+11,27.375,15.85
9.56966E+11,28.175,0.229166667
9.57053E+11,26.85,3.470833333
9.57139E+11,27.85,0
9.57226E+11,27.7,0.233333333
9.57312E+11,26.8,20.69166667
9.57398E+11,26.85,0.8625
9.57485E+11,26.675,8.5625
9.57571E+11,27.825,3.408333333
9.57658E+11,27.4,0
9.57744E+11,28.375,0.025
9.5783E+11,28.825,0.2125
9.57917E+11,29.275,0.358333333
9.58003E+11,28.175,8.129166667
9.5809E+11,28.9,0
9.58176E+11,28.75,0
9.58262E+11,29.65,0.629166667
9.58349E+11,30.05,9.8375
9.58435E+11,26.85,1.466666667
9.58522E+11,28.725,0
9.58608E+11,28.825,6.791666667
9.58694E+11,28.2,0.129166667
9.58781E+11,29.175,0.441666667
9.58867E+11,29.8,0
9.58954E+11,28.65,3.029166667
9.5904E+11,28.6,0
9.59126E+11,27.925,6.625
9.59213E+11,27.4,13.625
9.59299E+11,27.425,3.279166667
9.59386E+11,27.225,9.833333333
9.59472E+11,27.85,0.004166667
9.59558E+11,28.125,2.641666667
9.59645E+11,28.075,1.179166667
9.59731E+11,27.875,0
9.59818E+11,27.05,6.483333333
9.59904E+11,26.325,17.62916667
9.5999E+11,26.925,7.025
9.60077E+11,28.175,2.425
9.60163E+11,27.125,18.025
9.6025E+11,26.075,12.48333333
9.60336E+11,25.925,2.5375
9.60422E+11,27.325,0.666666667
9.60509E+11,26.675,0
9.60595E+11,28.2,7.1375
9.60682E+11,26.3,9.579166667
9.60768E+11,27.75,0
9.60854E+11,27.475,5.058333333
9.60941E+11,28.2,0.741666667
9.61027E+11,27.775,9.654166667
9.61114E+11,26.75,0.070833333
9.612E+11,26.825,33.31666667
9.61286E+11,26.525,8.858333333
9.61373E+11,26.65,0
9.61459E+11,26.7,11.225
9.61546E+11,26.05,1.979166667
9.61632E+11,27.775,0.045833333
9.61718E+11,27.1,2.575
9.61805E+11,27.65,1.404166667
9.61891E+11,28.1,0.041666667
9.61978E+11,28.175,0.004166667
9.62064E+11,26.975,18.77083333
9.6215E+11,27.3,0.729166667
9.62237E+11,27.175,0.1875
9.62323E+11,28.1,1.05
9.6241E+11,27.7,6.1625
9.62496E+11,28.025,0.004166667
9.62582E+11,29.2,0.1375
9.62669E+11,28.55,13.37083333
9.62755E+11,26.325,0.229166667
9.62842E+11,28.75,0
9.62928E+11,29.025,1.345833333
9.63014E+11,28.8,0.495833333
9.63101E+11,28.725,0
9.63187E+11,28.925,0
9.63274E+11,28.95,0
9.6336E+11,28.325,3.841666667
9.63446E+11,28.025,1.85
9.63533E+11,28.725,0
9.63619E+11,29.025,0
9.63706E+11,28.275,7.095833333
9.63792E+11,28.75,0.025
9.63878E+11,28.05,3.404166667
9.63965E+11,26.75,4.341666667
9.64051E+11,27.4,4.191666667
9.64138E+11,27.8,0.133333333
9.64224E+11,26.625,2.9125
9.6431E+11,26.175,28.45
9.64397E+11,25.375,29.91666667
9.64483E+11,24.45,28.59583333
9.6457E+11,26.125,0.020833333
9.64656E+11,27.725,0.3875
9.64742E+11,28.15,0.0375
9.64829E+11,26.225,17.83333333
9.64915E+11,26.65,2.879166667
9.65002E+11,26.25,8.366666667
9.65088E+11,25.575,3.258333333
9.65174E+11,25.7,11.7625
9.65261E+11,25.7,0.295833333
9.65347E+11,26.1,17.33333333
9.65434E+11,25.925,0.729166667
9.6552E+11,26.9,1.120833333
9.65606E+11,26.95,0.8625
9.65693E+11,26.525,9.683333333
9.65779E+11,26.725,0.441666667
9.65866E+11,26.8,1.370833333
9.65952E+11,26.825,9.425
9.66038E+11,25.475,2.9
9.66125E+11,27.45,0.070833333
9.66211E+11,27.425,0
9.66298E+11,26.575,27.53333333
9.66384E+11,24.725,0.995833333
9.6647E+11,27.55,0
9.66557E+11,26.75,5.791666667
9.66643E+11,27.75,0.65
9.6673E+11,26.175,10.88333333
9.66816E+11,28,0.429166667
9.66902E+11,29.15,0
9.66989E+11,28.325,0.0125
9.67075E+11,28.375,0
9.67162E+11,29.05,0
9.67248E+11,29.025,9.579166667
9.67334E+11,26.95,9.05
9.67421E+11,28.55,0
9.67507E+11,28.325,3.433333333
9.67594E+11,27.65,7.066666667
9.6768E+11,28.45,4.5125
9.67766E+11,28.7,0.683333333
9.67853E+11,28.975,0.004166667
9.67939E+11,29.075,0.029166667
9.68026E+11,26.1,16.525
9.68112E+11,28.125,0
9.68198E+11,28.5,0
9.68285E+11,28.175,0.0125
9.68371E+11,27.55,0.183333333
9.68458E+11,26.7,1.920833333
9.68544E+11,26.825,5.054166667
9.6863E+11,28.375,0
9.68717E+11,28.35,1.083333333
9.68803E+11,28.175,0.004166667
9.6889E+11,27.65,3.6375
9.68976E+11,28.3,6.983333333
9.69062E+11,28.05,1.016666667
9.69149E+11,27.475,7.691666667
9.69235E+11,25.775,19.98333333
9.69322E+11,26.05,13.61666667
9.69408E+11,26.65,25.53333333
9.69494E+11,26.35,13.625
9.69581E+11,27.025,5.116666667
9.69667E+11,26.425,4.925
9.69754E+11,27.5,0.170833333
9.6984E+11,26.75,16.3125
9.69926E+11,26.575,17.02916667
9.70013E+11,27.3,0.375
9.70099E+11,27.075,0.970833333
9.70186E+11,26.825,1.370833333
9.70272E+11,26.425,10.7125
9.70358E+11,25.175,38.24166667
9.70445E+11,25.4,14.26666667
9.70531E+11,27.375,0
9.70618E+11,26.475,27.6
9.70704E+11,25.45,1.095833333
9.7079E+11,26.7,0.183333333
9.70877E+11,27.525,0.029166667
9.70963E+11,27.775,3.2875
9.7105E+11,28.325,0.008333333
9.71136E+11,28.125,0.920833333
9.71222E+11,28.425,0.0125
9.71309E+11,28.525,0
9.71395E+11,28.625,3.645833333
9.71482E+11,28.025,3.6375
9.71568E+11,27.775,0
9.71654E+11,27.675,6.125
9.71741E+11,27.725,2.0125
9.71827E+11,28.3,4.4
9.71914E+11,27.625,12.00434783
9.72E+11,26.625,1.939130435
